PartnerCode,Product_id,PackageName,MainRedCode,MainOneDay,FreeRedCode,E10
Cool,63,63>Smart 15 - School,S15SCHOOLMAIN,S15SCHOOLM1D,S15SCHOOLF1D,
Cool,64,64>Smart 15 - Home PL(20),S15HOMEPL20MAIN,S15HOMEPL20M1D,S15HOMEPL20F1D,
Mini,65,65>Smart 15 - School - Mini,S15SCHOOLMAIN,S15SCHOOLM1D,S15SCHOOLF1D,
Mini,66,66>Smart 15 - Home PL(20) - Mini,S15HOMEPL20MAIN,S15HOMEPL20M1D,S15HOMEPL20F1D,
Cool,67,67>Smart 15 - Home GL,S15HOMEGLMAIN,S15HOMEGLM1D,S15HOMEGLF1D,
Mini,68,68>Smart 15 - Home GL - Mini,S15HOMEGLMAIN,S15HOMEGLM1D,S15HOMEGLF1D,
Cool,69,69>Smart 15 - Home 7D + 7GL,S15HOME7GLMAIN,S15HOME7GLM1D,S15HOME7GLF1D,
Mini,70,70>Smart 15 - Home 7D + 7GL - Mini,S15HOME7GLMAIN,S15HOME7GLM1D,S15HOME7GLF1D,
Cool,71,71>Smart 15 - Home 7D + 7GL + 1PL(20),S15HOME7GLPLMAIN,S15HOME7GLPLM1D,S15HOME7GLPLF1D,
Mini,72,72>Smart 15 - Home 7D + 7GL + 1PL(20) - Mini,S15HOME7GLPLMAIN,S15HOME7GLPLM1D,S15HOME7GLPLF1D,
Rupe,77,77>EF Interactive English Language 15,R15SCHOOLMAIN,R15SCHOOLM1D,R15SCHOOLF1D,
Rupe,78,78>EF Home Product 15,R15HOMEMAIN,R15HOMEM1D,R15HOMEF1D,
Indo,86,86>Smart English 15,I15SEMAIN,I15SEM1D,I15SEF1D,
Indo,87,87>Professional English 15,I15PEMAIN,I15PEM1D,I15PEF1D,
Rupe,102,102>Exam Preparation 15,R15EXAMPREMAIN,R15EXAMPREM1D,R15EXAMPREF1D,
Cool,111,111>Smart 15 - CS T1,S15CSMAIN,S15CSM1D,S15CSF1D,
Mini,112,112>Smart 15 - CS T2,S15CSMAIN,S15CSM1D,S15CSF1D,
Cool,118,118>Beginner Camp,S15HOME7GLMAIN,S15HOME7GLM1D,S15HOME7GLF1D,
Cool,119,119>Smart 15 - Home 7D + 1GL,S15HOME71GLMAIN,S15HOME71GLM1D,S15HOME71GLF1D,
Mini,120,120>Smart 15 - Home 7D + 1GL - Mini,S15HOME71GLMAIN,S15HOME71GLM1D,S15HOME71GLF1D,
Cool,122,122>Smart 15 - Alumni Product - Gold,S15ALUMNITPMAIN,S15ALUMNITPM1D,S15ALUMNITPF1D,
Cool,123,123>Smart 15 - Alumni Product - Silver,S15ALUMNITPMAIN,S15ALUMNITPM1D,S15ALUMNITPF1D,
Cool,125,125>Smart 15 - Home 5D,S15HOME5MAIN,,S15HOME5F1D,
Mini,126,126>Smart 15 - Home 5D - Mini,S15HOME5MAIN,,S15HOME5F1D,
Cehk,127,127>Smart 15 - School - HK,HK15SCHOOLMAIN,HK15SCHOOLM1D,HK15SCHOOLF1D,
Cehk,128,128>Smart 15 - Home PL(20) - HK,HK15HOMEPL20MAIN,HK15HOMEPL20M1D,HK15HOMEPL20F1D,
Cehk,129,129>Smart 15 - Home GL - HK,HK15HOMEGLMAIN,HK15HOMEGLM1D,HK15HOMEGLF1D,
Cehk,130,130>Smart 15 - Home OS - HK,HK15HOMEOSMAIN,HK15HOMEOSM1D,HK15HOMEOSF1D,
Rupe,133,133>EF PL20 Smart 15 Home,R15HOMEPL20MAIN,R15HOMEPL20M1D,R15HOMEPL20F1D,
Rupe,134,134>EF PL20 Interactive English Language 15,R15SCHOOLPL20MAIN,R15SCHOOLPL20M1D,R15SCHOOLPL20F1D,
Rupe,140,140>Interchangeable F2F/PL Coupon,S15NSSCHOOLMAIN,S15NSSCHOOLM1D,S15NSSCHOOLF1D,
ecSP,135,135>EF Smart 15 Spain,SPS15SCHOOLMAIN,SPS15SCHOOLM1D,SPS15SCHOOLF1D,
ecSP,136,136>EF Smart 15 Spain - Home,SPS15HOMEMAIN,SPS15HOMEM1D,SPS15HOMEF1D,
ecSP,139,139>EF Smart 15 Home 90D PL40,SPS15HOME90PL40MAIN,SPS15HOME90PL40M1D,SPS15HOME90PL40F1D,
Cool,9,9>E10>Preminum 10,SMART3MONTHSCHOOL,,SMART1DAYFREESCHOOL,TRUE
Mini,37,37>E10>Private 24(School)with F2F,MINIPRIVATELC18775,,privatefree1day18901,TRUE
Cehk,97,97>E10>Intensive PXLC,HKINTPXLCMAIN,,HKINTPXLCMAIN1D,TRUE
Rupe,39,39>E10>Interactive English Language Course,Rissiamain3Mschool,,Russiafree1dayschool,TRUE
Indo,50,50>E10>Smart English,INDOSMARTMAIN,,INDOSMARTFREE,TRUE
