PartnerCode,Id,Name,MainRedCode,MainOneDay,FreeRedCode
cool,63,"[63,65] Smart 15 - School","S15SCHOOLMAIN (19961, 30444)","S15SCHOOLM1D (20123, 30618)","S15SCHOOLF1D (20122, 30617)"
cool,64,"[64,66] Smart 15 - Home PL(20)","S15HOMEPL20MAIN (19965, 30448)","S15HOMEPL20M1D (20121, 30616)","S15HOMEPL20F1D (20120, 30615)"
cool,67,"[67,68] Smart 15 - Home GL","S15HOMEGLMAIN (19963, 30446)","S15HOMEGLM1D (20119, 30614)","S15HOMEGLF1D (20118, 30613)"
cool,71,"[71,72] Smart 15 - Home 7D + 7GL + 1PL(20)","S15HOME7GLPLMAIN (19991, 30474)","S15HOME7GLPLM1D (20117, 30612)","S15HOME7GLPLF1D (20115, 30610)"
cool,69,"[69,70] Smart 15 - Home 7D + 7GL","S15HOME7GLMAIN (19992, 30475)","S15HOME7GLM1D (20114, 30609)","S15HOME7GLF1D (20113, 30608)"
cool,111,"[111, 112] Smart 15 - CS","S15CSMAIN (20221, 30878)","S15CSM1D (20222, 30879)","S15CSF1D (20226, 30883)"
cool,118,[118] Smart 15 - Beginner Camp <SAME AS 69>,"S15HOME7GLMAIN (19992, 30475)","S15HOME7GLM1D (20114, 30609)","S15HOME7GLF1D (20113, 30608)"
cool,119,"[119, 120] Smart 15 - Home 7D + 1GL","S15HOME71GLMAIN (20352, 31264)","S15HOME71GLM1D (20353, 31265)","S15HOME71GLF1D (20355, 31267)"
cool,122,"[122, 123] Smart 15 - Alumni Test Product, Smart 15 - Alumni Easy","S15ALUMNITPMAIN (20426, 31335)?","S15ALUMNITPM1D (20427, 31336)","S15ALUMNITPF1D (20428, 31337)?"
cool,125,"[125, 126] Smart 15 - Home 5D","S15HOME5MAIN (20472, 31380)",,"S15HOME5F1D (20473, 31381)"
mini,65,"[63,65] Smart 15 - School","S15SCHOOLMAIN (19961, 30444)","S15SCHOOLM1D (20123, 30618)","S15SCHOOLF1D (20122, 30617)"
mini,66,"[64,66] Smart 15 - Home PL(20)","S15HOMEPL20MAIN (19965, 30448)","S15HOMEPL20M1D (20121, 30616)","S15HOMEPL20F1D (20120, 30615)"
mini,68,"[67,68] Smart 15 - Home GL","S15HOMEGLMAIN (19963, 30446)","S15HOMEGLM1D (20119, 30614)","S15HOMEGLF1D (20118, 30613)"
mini,72,"[71,72] Smart 15 - Home 7D + 7GL + 1PL(20)","S15HOME7GLPLMAIN (19991, 30474)","S15HOME7GLPLM1D (20117, 30612)","S15HOME7GLPLF1D (20115, 30610)"
mini,70,"[69,70] Smart 15 - Home 7D + 7GL","S15HOME7GLMAIN (19992, 30475)","S15HOME7GLM1D (20114, 30609)","S15HOME7GLF1D (20113, 30608)"
mini,112,"[111, 112] Smart 15 - CS","S15CSMAIN (20221, 30878)","S15CSM1D (20222, 30879)","S15CSF1D (20226, 30883)"
mini,***,[118] Smart 15 - Beginner Camp <SAME AS 69>,"S15HOME7GLMAIN (19992, 30475)","S15HOME7GLM1D (20114, 30609)","S15HOME7GLF1D (20113, 30608)"
mini,120,"[119, 120] Smart 15 - Home 7D + 1GL","S15HOME71GLMAIN (20352, 31264)","S15HOME71GLM1D (20353, 31265)","S15HOME71GLF1D (20355, 31267)"
mini,123,"[122, 123] Smart 15 - Alumni Test Product, Smart 15 - Alumni Easy","S15ALUMNITPMAIN (20426, 31335)?","S15ALUMNITPM1D (20427, 31336)","S15ALUMNITPF1D (20428, 31337)?"
mini,126,"[125, 126] Smart 15 - Home 5D","S15HOME5MAIN (20472, 31380)",,"S15HOME5F1D (20473, 31381)"
rupe,77,[77] EF Interactive English Language 15,"R15SCHOOLMAIN (20073, 30572)","R15SCHOOLM1D (20112, 30607)","R15SCHOOLF1D?(20111, 30606)"
rupe,78,[78] EF Home Product 15,"R15HOMEMAIN (20072, 30571)","R15HOMEM1D (20106, 30601)","R15HOMEF1D?(20105, 30600)"
